previous_crop,soil_nitrogen,soil_ph,rainfall,temperature,recommended_next_crop
Sugarcane,30,6.1,870,29,Potato
Wheat,35,5.6,452,17,Rice
Soybean,18,6.0,312,16,Barley
Soybean,26,5.7,334,17,Barley
Potato,19,7.1,1171,18,Wheat
Sugarcane,21,7.3,589,24,Potato
Potato,43,7.1,1497,34,Wheat
Cotton,31,6.3,631,20,Tomato
Tomato,31,5.9,1412,33,Rice
Cotton,21,5.8,1235,35,Tomato
Sugarcane,28,6.8,693,22,Potato
Wheat,20,6.2,1148,16,Rice
Cotton,28,6.5,323,17,Tomato
Tomato,38,6.7,556,25,Rice
Sugarcane,16,6.9,593,32,Potato
Rice,12,7.4,341,35,Maize
Potato,26,6.6,1390,21,Wheat
Soybean,31,6.8,515,26,Barley
Potato,26,6.5,840,21,Wheat
Tomato,22,5.5,853,16,Rice
Potato,10,6.8,985,23,Wheat
Cotton,24,6.4,804,24,Tomato
Maize,49,5.8,598,30,Soybean
Potato,20,6.8,1044,20,Wheat
Sugarcane,48,7.2,760,30,Potato
Barley,17,6.8,1408,35,Wheat
Rice,19,7.2,750,23,Maize
Sugarcane,26,6.6,1332,32,Potato
Tomato,46,7.1,922,30,Rice
Wheat,37,5.9,909,15,Rice
Millet,34,5.6,1238,29,Cotton
Tomato,23,5.5,373,20,Rice
Millet,36,5.8,1147,16,Cotton
Millet,46,5.8,413,20,Cotton
Rice,34,5.9,1359,32,Maize
Millet,29,5.7,676,33,Cotton
Potato,47,5.8,1292,17,Wheat
Rice,35,6.0,512,27,Maize
Soybean,49,6.6,552,32,Barley
Wheat,12,6.6,924,22,Rice
Tomato,42,7.1,1053,17,Rice
Rice,36,7.0,1170,33,Maize
Sugarcane,15,7.4,1292,33,Potato
Tomato,20,7.1,431,25,Rice
Cotton,29,6.1,378,28,Tomato
Maize,24,6.6,349,21,Soybean
Barley,26,6.2,1328,25,Wheat
Maize,15,5.9,384,24,Soybean
Sugarcane,32,5.9,1347,30,Potato
Maize,10,6.0,1162,26,Soybean
Rice,49,7.1,828,29,Maize
Barley,10,6.7,1258,24,Wheat
Soybean,16,5.7,763,24,Barley
Rice,38,6.4,1126,24,Maize
Millet,25,5.6,604,27,Cotton
Millet,36,6.9,1276,34,Cotton
Rice,45,7.0,1459,25,Maize
Maize,17,6.3,321,33,Soybean
Tomato,47,7.2,1492,30,Rice
Barley,48,5.8,587,21,Wheat
Maize,30,5.5,1279,23,Soybean
Barley,45,7.1,1095,33,Wheat
Rice,33,6.7,440,17,Maize
Sugarcane,10,5.7,769,15,Potato
Rice,48,7.1,1059,21,Maize
Wheat,27,5.8,501,17,Rice
Wheat,34,5.6,359,29,Rice
Tomato,42,6.3,1128,22,Rice
Rice,40,7.5,1334,20,Maize
Barley,29,6.5,577,22,Wheat
Barley,41,5.7,1451,24,Wheat
Barley,16,6.0,646,21,Wheat
Rice,17,7.2,1013,21,Maize
Millet,49,7.1,438,17,Cotton
Tomato,38,6.6,886,32,Rice
Cotton,16,6.6,618,20,Tomato
Millet,27,6.5,1287,31,Cotton
Tomato,35,6.6,1148,15,Rice
Cotton,24,6.0,537,22,Tomato
Wheat,40,6.6,1129,17,Rice
Maize,11,5.7,1281,28,Soybean
Barley,27,6.7,925,18,Wheat
Soybean,36,6.8,1143,33,Barley
Soybean,42,6.7,444,26,Barley
Wheat,46,7.1,456,16,Rice
Maize,34,6.7,1013,29,Soybean
Barley,21,7.5,360,22,Wheat
Rice,14,7.0,1258,15,Maize
Sugarcane,22,5.8,646,34,Potato
Sugarcane,35,6.4,459,19,Potato
Soybean,30,6.1,1051,26,Barley
Soybean,24,6.0,1464,34,Barley
Cotton,15,7.4,635,18,Tomato
Potato,39,5.5,1073,17,Wheat
Rice,45,6.4,503,28,Maize
Cotton,38,6.8,950,29,Tomato
Rice,42,5.8,1285,34,Maize
Maize,28,6.0,1043,29,Soybean
Cotton,38,6.2,1396,28,Tomato
Sugarcane,38,6.5,1051,27,Potato
Sugarcane,10,6.5,512,33,Potato
Potato,23,5.9,1186,31,Wheat
Millet,47,6.9,1204,25,Cotton
Wheat,42,6.6,1028,35,Rice
Soybean,35,7.4,941,30,Barley
Maize,20,6.9,1186,33,Soybean
Maize,17,6.6,880,28,Soybean
Sugarcane,39,6.8,1324,31,Potato
Barley,22,6.2,1403,22,Wheat
Potato,16,7.5,1193,30,Wheat
Tomato,18,6.5,461,33,Rice
Potato,42,7.1,383,28,Wheat
Sugarcane,46,6.6,1350,35,Potato
Barley,50,5.6,1196,35,Wheat
Cotton,22,6.8,1111,35,Tomato
Maize,12,7.2,973,30,Soybean
Cotton,27,6.2,1115,15,Tomato
Maize,25,6.1,694,23,Soybean
Potato,15,7.3,1190,24,Wheat
Tomato,11,6.6,1238,30,Rice
Millet,50,7.2,1189,19,Cotton
Barley,10,6.8,1417,22,Wheat
Sugarcane,22,6.8,1408,34,Potato
Cotton,50,6.8,664,17,Tomato
Soybean,10,7.2,551,17,Barley
Sugarcane,46,7.2,349,31,Potato
Rice,12,6.2,693,34,Maize
Cotton,38,7.2,451,34,Tomato
Sugarcane,14,6.1,1268,34,Potato
Cotton,25,6.0,469,21,Tomato
Potato,16,7.1,1245,24,Wheat
Potato,31,7.0,1296,20,Wheat
Barley,50,7.4,1381,20,Wheat
Millet,38,6.9,698,23,Cotton
Barley,28,6.2,1191,34,Wheat
Maize,16,7.0,1372,16,Soybean
Tomato,19,6.3,1072,28,Rice
Soybean,25,7.2,684,28,Barley
Maize,40,6.6,1393,24,Soybean
Soybean,33,6.8,947,20,Barley
Rice,29,6.4,1326,29,Maize
Cotton,46,7.2,1225,21,Tomato
Soybean,21,7.4,562,29,Barley
Potato,32,6.2,765,35,Wheat
Millet,10,6.7,1328,33,Cotton
Tomato,35,6.2,707,18,Rice
Barley,38,6.6,1343,24,Wheat
Wheat,31,6.0,1199,21,Rice
Soybean,15,6.0,757,21,Barley
Cotton,47,6.3,1064,15,Tomato
Barley,35,6.2,1382,17,Wheat
Potato,33,6.9,1086,34,Wheat
Rice,48,6.5,762,20,Maize
Tomato,46,6.3,1168,29,Rice
Potato,26,5.8,557,33,Wheat
Soybean,37,7.3,1287,35,Barley
Barley,29,7.4,1165,21,Wheat
Sugarcane,45,6.3,1492,15,Potato
Millet,33,7.3,1497,27,Cotton
Sugarcane,40,7.2,614,23,Potato
Wheat,49,6.3,916,19,Rice
Cotton,34,5.7,844,27,Tomato
Wheat,33,7.2,856,33,Rice
Tomato,49,5.5,769,33,Rice
Barley,18,6.6,676,28,Wheat
Soybean,11,6.4,1291,26,Barley
Rice,36,6.6,989,24,Maize
Wheat,13,6.6,1102,30,Rice
Potato,33,7.4,664,15,Wheat
Cotton,31,7.5,1256,27,Tomato
Millet,26,6.0,809,30,Cotton
Potato,50,6.0,327,16,Wheat
Sugarcane,18,7.4,555,15,Potato
Rice,44,5.7,856,18,Maize
Millet,21,7.3,1271,32,Cotton
Millet,49,5.7,942,21,Cotton
Tomato,16,6.2,1212,27,Rice
Cotton,12,6.8,1331,15,Tomato
Sugarcane,15,5.8,896,35,Potato
Millet,38,7.4,1222,26,Cotton
Soybean,26,7.5,930,30,Barley
Potato,12,6.4,1111,28,Wheat
Millet,43,6.2,1245,16,Cotton
Millet,25,6.1,842,18,Cotton
Soybean,35,5.5,632,26,Barley
Soybean,37,5.6,378,34,Barley
Soybean,16,6.2,1329,25,Barley
Barley,44,7.3,1157,16,Wheat
Tomato,33,6.9,1041,26,Rice
Maize,18,7.0,1152,26,Soybean
Potato,16,7.2,306,33,Wheat
Tomato,49,6.0,1323,20,Rice
Tomato,10,7.1,372,29,Rice
Sugarcane,41,6.9,1360,35,Potato
Cotton,12,6.1,380,27,Tomato
Sugarcane,45,5.5,885,25,Potato
Sugarcane,19,6.5,1016,35,Potato
Cotton,49,6.2,1340,31,Tomato
Rice,40,5.6,1023,22,Maize
Tomato,23,5.6,845,15,Rice
Millet,47,6.2,704,28,Cotton
Barley,42,5.9,908,31,Wheat
Soybean,18,5.9,907,32,Barley
Sugarcane,27,5.7,1233,35,Potato
Millet,11,5.9,543,35,Cotton
Potato,41,5.7,580,22,Wheat
Millet,19,6.8,1071,35,Cotton
Barley,22,5.5,729,15,Wheat
Sugarcane,22,6.7,893,16,Potato
Rice,31,5.6,1253,18,Maize
Maize,31,6.5,387,20,Soybean
Wheat,19,7.4,341,25,Rice
Potato,29,6.8,1500,29,Wheat
Sugarcane,20,6.7,1082,18,Potato
Sugarcane,20,6.8,722,32,Potato
Barley,16,7.3,903,16,Wheat
Tomato,27,6.1,1331,24,Rice
Potato,50,6.3,1073,26,Wheat
Soybean,12,5.8,498,27,Barley
Soybean,48,5.7,363,28,Barley
Millet,30,5.7,1150,19,Cotton
Rice,49,7.0,610,26,Maize
Potato,48,6.0,316,25,Wheat
Rice,16,6.7,1341,30,Maize
Barley,14,6.4,1241,33,Wheat
Potato,37,6.5,1363,19,Wheat
Barley,40,5.9,509,26,Wheat
Barley,39,6.0,883,24,Wheat
Maize,35,7.1,866,27,Soybean
Millet,43,6.4,897,18,Cotton
Millet,50,5.5,978,17,Cotton
Rice,19,7.5,364,28,Maize
Wheat,37,5.8,342,16,Rice
Tomato,31,7.3,1070,20,Rice
Tomato,44,6.6,916,18,Rice
Potato,46,6.4,528,24,Wheat
Maize,49,6.7,1496,27,Soybean
Millet,13,6.6,1128,23,Cotton
Soybean,26,6.0,1247,34,Barley
Millet,44,7.0,1206,29,Cotton
Cotton,47,5.9,1341,18,Tomato
Rice,32,7.3,338,29,Maize
Sugarcane,19,6.4,382,27,Potato
Tomato,38,5.8,569,34,Rice
Wheat,37,5.8,973,31,Rice
Potato,16,6.6,1106,26,Wheat
Maize,17,6.2,659,31,Soybean
Barley,13,5.5,316,35,Wheat
Tomato,38,7.3,900,29,Rice
Cotton,12,6.1,798,35,Tomato
Millet,26,6.5,1183,30,Cotton
Tomato,16,5.6,1220,23,Rice
Maize,42,5.8,792,32,Soybean
Tomato,19,7.3,1009,21,Rice
Wheat,16,6.5,904,25,Rice
Potato,22,6.9,332,20,Wheat
Soybean,46,7.2,426,21,Barley
Soybean,18,6.0,1397,18,Barley
Rice,11,7.4,1051,19,Maize
Millet,24,5.9,1140,30,Cotton
Tomato,11,5.9,946,34,Rice
Potato,29,6.3,958,29,Wheat
Wheat,50,6.7,846,24,Rice
Wheat,20,7.4,715,20,Rice
Maize,29,7.2,630,33,Soybean
Tomato,48,6.2,1084,18,Rice
Wheat,36,7.0,1228,21,Rice
Tomato,35,5.9,945,30,Rice
Wheat,21,7.0,548,31,Rice
Tomato,34,7.1,1452,28,Rice
Maize,22,5.7,771,35,Soybean
Rice,43,7.2,748,27,Maize
Tomato,23,6.0,1150,21,Rice
Maize,24,6.9,898,27,Soybean
Rice,21,5.9,918,34,Maize
Barley,23,6.0,756,23,Wheat
Soybean,14,6.2,1472,18,Barley
Millet,17,6.7,817,16,Cotton
Potato,15,6.7,1456,23,Wheat
Potato,47,5.7,878,19,Wheat
Cotton,33,5.6,1278,18,Tomato
Sugarcane,13,6.1,720,25,Potato
Wheat,41,6.8,1097,29,Rice
Barley,13,7.4,858,16,Wheat
Sugarcane,44,7.0,1237,20,Potato
Wheat,43,6.8,382,26,Rice
Tomato,32,7.4,1228,21,Rice
Soybean,22,6.9,956,17,Barley
Sugarcane,11,7.0,746,24,Potato
Sugarcane,16,7.1,1361,28,Potato
Maize,31,6.7,1039,31,Soybean
Sugarcane,10,5.8,489,21,Potato
Rice,35,5.9,402,30,Maize
Maize,30,6.0,1270,30,Soybean
Tomato,50,7.1,394,35,Rice
Wheat,40,6.7,988,29,Rice
Sugarcane,23,6.0,603,24,Potato
Potato,25,6.5,959,19,Wheat
Barley,20,6.9,942,18,Wheat
Tomato,41,7.2,746,32,Rice
Barley,11,6.2,340,22,Wheat
Millet,23,7.5,1101,25,Cotton
Tomato,43,5.8,1129,29,Rice
Millet,45,5.7,600,15,Cotton
Barley,16,5.7,454,17,Wheat
Soybean,32,7.0,972,20,Barley
Soybean,28,6.1,441,23,Barley
Sugarcane,26,6.6,1043,17,Potato
Potato,38,7.1,477,17,Wheat
Cotton,19,6.6,1235,21,Tomato
Potato,47,5.7,1277,17,Wheat
Maize,43,7.4,1295,28,Soybean
Millet,19,5.8,371,35,Cotton
Sugarcane,50,6.1,1044,32,Potato
Sugarcane,40,7.1,943,24,Potato
Wheat,17,6.9,436,29,Rice
Sugarcane,38,6.5,625,35,Potato
Soybean,39,6.4,808,24,Barley
Sugarcane,17,6.2,493,27,Potato
Rice,50,6.6,973,29,Maize
Potato,15,5.6,842,29,Wheat
Tomato,41,6.6,506,32,Rice
Millet,31,5.7,343,20,Cotton
Rice,19,5.6,1062,28,Maize
Maize,19,6.4,1464,30,Soybean
Barley,18,6.9,1151,22,Wheat
Tomato,32,5.9,350,17,Rice
Wheat,41,7.0,1088,21,Rice
Maize,35,7.3,984,27,Soybean
Soybean,33,6.4,1234,29,Barley
Tomato,25,6.7,1359,24,Rice
Maize,39,6.6,511,28,Soybean
Tomato,29,6.0,1096,32,Rice
Tomato,44,6.4,1337,34,Rice
Soybean,11,6.7,696,16,Barley
Barley,50,7.3,483,15,Wheat
Maize,42,6.7,1219,21,Soybean
Millet,41,6.1,1410,29,Cotton
Tomato,23,5.7,611,21,Rice
Potato,28,5.8,397,27,Wheat
Rice,16,6.4,1123,21,Maize
Cotton,42,5.8,1199,35,Tomato
Cotton,29,6.9,335,34,Tomato
Sugarcane,46,7.1,406,20,Potato
Tomato,43,6.4,1232,16,Rice
Maize,23,7.0,1137,29,Soybean
Millet,18,6.4,940,19,Cotton
Soybean,50,6.8,1160,17,Barley
Rice,15,6.0,1277,28,Maize
Wheat,47,7.4,776,17,Rice
Cotton,12,6.1,625,29,Tomato
Maize,31,6.4,1302,22,Soybean
Sugarcane,32,6.3,943,27,Potato
Soybean,39,6.7,1253,25,Barley
Potato,30,6.4,786,34,Wheat
Barley,12,7.4,844,21,Wheat
Barley,20,7.0,570,33,Wheat
Cotton,27,6.8,547,22,Tomato
Tomato,38,7.1,329,34,Rice
Cotton,41,5.8,1439,16,Tomato
Maize,14,7.5,1359,35,Soybean
Rice,23,7.3,1443,16,Maize
Rice,47,7.1,317,35,Maize
Barley,24,7.2,1050,25,Wheat
Millet,21,6.1,1047,15,Cotton
Potato,24,6.2,1216,33,Wheat
Wheat,46,6.2,1226,24,Rice
Rice,10,7.4,396,29,Maize
Cotton,11,6.7,1036,15,Tomato
Tomato,47,6.1,326,31,Rice
Wheat,44,5.8,1487,20,Rice
Tomato,42,5.9,1481,30,Rice
Sugarcane,39,6.2,543,24,Potato
Soybean,37,6.7,751,25,Barley
Barley,18,7.1,886,29,Wheat
Potato,17,6.1,318,35,Wheat
Potato,32,6.5,1162,32,Wheat
Tomato,21,7.4,318,17,Rice
Sugarcane,38,7.3,1325,27,Potato
Potato,44,6.8,729,21,Wheat
Cotton,44,7.3,832,35,Tomato
Rice,36,5.7,900,18,Maize
Millet,35,6.0,913,31,Cotton
Potato,15,6.9,1136,29,Wheat
Rice,25,6.8,636,27,Maize
Soybean,11,6.6,1120,29,Barley
Barley,47,6.4,1190,16,Wheat
Sugarcane,22,5.6,624,22,Potato
Maize,36,6.7,1433,29,Soybean
Potato,32,5.8,774,34,Wheat
Wheat,36,5.6,983,20,Rice
Rice,31,6.3,1176,31,Maize
Rice,47,7.2,700,31,Maize
Maize,34,5.6,1477,35,Soybean
Cotton,19,5.6,527,35,Tomato
Maize,14,6.1,1325,27,Soybean
Tomato,27,6.3,1076,20,Rice
Sugarcane,40,7.0,500,21,Potato
Maize,13,5.7,369,25,Soybean
Millet,18,6.2,1113,19,Cotton
Wheat,27,6.3,1421,29,Rice
Wheat,34,6.7,706,22,Rice
Maize,41,6.4,1461,25,Soybean
Maize,31,7.3,808,34,Soybean
Soybean,13,6.9,1223,26,Barley
Wheat,10,7.0,449,32,Rice
Cotton,30,6.9,523,28,Tomato
Tomato,35,6.4,1281,32,Rice
Soybean,47,6.5,1010,35,Barley
Soybean,38,7.0,941,31,Barley
Cotton,17,7.2,1016,29,Tomato
Soybean,31,6.2,1146,34,Barley
Cotton,17,6.3,1034,29,Tomato
Wheat,48,7.1,901,28,Rice
Tomato,11,5.6,761,15,Rice
Maize,41,7.0,860,35,Soybean
Wheat,31,6.1,1378,20,Rice
Tomato,44,5.8,1059,27,Rice
Soybean,46,6.4,908,33,Barley
Rice,49,6.6,1303,16,Maize
Wheat,48,6.4,992,32,Rice
Potato,48,6.8,479,24,Wheat
Potato,16,5.6,342,19,Wheat
Soybean,49,6.8,920,27,Barley
Maize,50,7.4,685,15,Soybean
Millet,20,6.9,1035,19,Cotton
Millet,48,6.5,1388,20,Cotton
Millet,29,5.5,733,22,Cotton
Sugarcane,32,7.4,412,30,Potato
Maize,15,6.9,1308,26,Soybean
Cotton,44,6.7,1161,19,Tomato
Rice,43,7.1,551,34,Maize
Soybean,45,5.8,821,20,Barley
Barley,11,6.0,994,34,Wheat
Millet,35,7.3,520,35,Cotton
Soybean,50,6.8,567,35,Barley
Sugarcane,25,7.4,1367,26,Potato
Cotton,42,7.1,623,26,Tomato
Soybean,46,5.6,560,24,Barley
Barley,27,6.9,1217,28,Wheat
Maize,27,7.0,969,24,Soybean
Cotton,43,6.9,770,24,Tomato
Wheat,46,7.4,315,30,Rice
Millet,27,5.8,1490,18,Cotton
Potato,46,7.3,450,17,Wheat
Maize,38,6.4,582,26,Soybean
Rice,16,7.4,817,35,Maize
Wheat,31,5.7,306,20,Rice
Wheat,43,6.8,1112,15,Rice
Tomato,44,6.3,1484,18,Rice
Wheat,50,6.6,535,20,Rice
Tomato,31,7.0,971,22,Rice
Rice,43,6.2,495,30,Maize
Rice,14,6.5,1137,28,Maize
Rice,43,7.3,481,23,Maize
Soybean,20,7.3,786,23,Barley
Soybean,31,7.4,1116,26,Barley
Cotton,18,5.8,1198,27,Tomato
Maize,25,5.7,754,19,Soybean
Tomato,41,5.9,680,23,Rice
Wheat,44,6.9,1161,30,Rice
Potato,10,6.9,434,29,Wheat
Soybean,25,7.1,1108,21,Barley
Sugarcane,36,7.3,721,16,Potato
Cotton,43,7.0,786,17,Tomato
Sugarcane,13,7.1,948,16,Potato
Wheat,42,6.9,851,34,Rice
Tomato,19,6.1,679,17,Rice
Potato,22,6.6,1052,22,Wheat
Cotton,44,7.3,1249,31,Tomato
Rice,41,6.2,451,20,Maize
Tomato,39,7.2,332,26,Rice
Wheat,19,7.3,590,22,Rice
Tomato,10,6.9,686,25,Rice
Potato,36,6.4,910,35,Wheat
Barley,38,6.0,1197,32,Wheat
Sugarcane,49,6.5,627,21,Potato
Wheat,26,5.8,694,15,Rice
Cotton,49,7.5,602,34,Tomato
Rice,21,5.9,1052,35,Maize
Soybean,48,6.9,1230,26,Barley
Maize,43,7.4,1105,20,Soybean
Wheat,34,6.0,971,32,Rice
Cotton,44,6.9,930,30,Tomato
Soybean,47,6.6,1106,34,Barley
Tomato,28,5.7,507,35,Rice
Sugarcane,26,5.6,880,34,Potato
Sugarcane,50,7.0,529,31,Potato
Millet,31,7.2,1284,16,Cotton
Millet,36,6.0,657,25,Cotton
Maize,10,5.7,836,31,Soybean
Potato,10,5.8,342,17,Wheat
Maize,34,6.3,409,27,Soybean
Cotton,32,6.0,1060,29,Tomato
Rice,44,7.0,1334,32,Maize
Cotton,15,6.7,686,31,Tomato
Maize,34,7.3,1477,16,Soybean
Wheat,30,7.4,1340,16,Rice
Barley,30,7.0,989,19,Wheat
Sugarcane,42,5.7,651,18,Potato
Wheat,20,6.0,1362,18,Rice
Cotton,24,6.6,1499,16,Tomato
Potato,50,6.8,1197,27,Wheat
Barley,38,5.5,604,25,Wheat
Wheat,27,6.1,1311,35,Rice
Soybean,37,7.1,940,15,Barley
Tomato,43,6.6,1135,35,Rice
Sugarcane,18,7.5,1181,21,Potato
Maize,26,6.0,587,28,Soybean
Wheat,15,5.8,301,30,Rice
Cotton,42,6.9,1290,19,Tomato
Wheat,30,6.7,661,25,Rice
Soybean,33,6.8,1480,17,Barley
Tomato,35,6.5,1154,32,Rice
Tomato,26,7.2,1303,24,Rice
Barley,48,6.3,1098,28,Wheat
Wheat,41,5.6,1010,22,Rice
Sugarcane,30,5.9,435,16,Potato
Wheat,17,7.0,729,18,Rice
Tomato,18,5.6,677,31,Rice
Sugarcane,35,6.8,527,31,Potato
Tomato,49,6.7,623,34,Rice
Potato,18,7.3,714,35,Wheat
Potato,22,6.8,861,35,Wheat
Millet,24,7.0,1484,31,Cotton
Wheat,41,5.6,966,19,Rice
Millet,34,5.8,577,27,Cotton
Maize,27,6.8,1252,30,Soybean
Barley,17,7.3,826,31,Wheat
Cotton,18,7.1,394,33,Tomato
Sugarcane,44,6.3,1120,18,Potato
Rice,49,6.1,1358,19,Maize
Maize,47,7.1,1065,21,Soybean
Tomato,28,5.6,499,29,Rice
Rice,16,7.0,1414,25,Maize
Potato,25,7.1,1150,25,Wheat
Rice,10,7.1,488,35,Maize
Wheat,47,6.8,780,18,Rice
Maize,22,5.6,744,23,Soybean
Sugarcane,19,5.7,1133,32,Potato
Soybean,34,7.0,659,24,Barley
Soybean,20,7.4,480,31,Barley
Cotton,42,6.5,985,19,Tomato
Millet,46,6.1,1313,23,Cotton
Cotton,35,6.2,510,33,Tomato
Tomato,28,6.1,1282,30,Rice
Tomato,39,6.3,509,15,Rice
Millet,24,5.7,1187,19,Cotton
Cotton,11,7.0,530,32,Tomato
Barley,14,5.8,733,35,Wheat
Barley,19,6.3,891,17,Wheat
Potato,45,6.3,1017,21,Wheat
Potato,19,6.3,479,17,Wheat
Millet,36,6.2,1459,35,Cotton
Soybean,40,7.4,1414,24,Barley
Soybean,32,5.7,1284,31,Barley
Soybean,34,6.5,359,30,Barley
Millet,13,7.0,782,23,Cotton
Potato,49,5.7,677,29,Wheat
Soybean,26,7.1,808,18,Barley
Rice,38,6.0,707,26,Maize
